Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Australia,AUS,2.48085739405019,1.29693177230521,6.21437634985244,6.97757189326991,5.97750537090864,2.3810335009272,6.30689948609215,5.09512980987455,7.04760243224727,7.17469983682571,4.0009865700372,3.90697856876663,2.6185458738897,4.10661101328289,1.33870055771159,2.58782205117312,3.59237581967973,0.895363440295682,4.05155094854514,3.03453508064058,3.34242019351289,3.32864998005238,-2.22582353017135,4.5644786594345,5.28169814609451,3.96976309787884,2.5567680273608,5.76137011855324,3.87901779350344,3.57297569098456,-0.384631357046658,0.433065864126704,4.04583374101011,3.97884434177331,3.89017188961647,3.86567479160071,3.91795814771731,4.67681373479508,5.02822035850596,3.9160574881715,2.03145880248898,3.94980535772942,3.0912800997751,4.21894147547516,3.15548121323168,2.7709261737475,3.78947119882653,3.62398503565633,1.95484826298522,2.21004795300735,2.39473494330615,3.95247138119184,2.65445302592404,2.60118978187332,2.16434780647852,2.75564065529868,2.29331030192918,2.87417039499501,2.19401703622717,-0.133531904304775,2.00694844335034,4.25304559238732,3.58382100798981,1.37340773365975,1.35039785076631
Austria,AUT,5.53797902513386,2.64867460443732,4.13826783091311,6.12435345300248,3.48017454307666,5.64286142932208,3.00804740763752,4.47231239659007,6.27586703858165,7.12287566074039,5.11496844003607,6.20786057271572,4.89043598428583,3.94213819626765,-0.363735781670002,4.57844491490252,5.0799812066944,-0.21065365212003,5.35669993923946,1.731485495966,-0.144294731083647,2.01125455462991,2.97308783817583,0.0512751573205321,2.49867884980837,2.30139279474186,1.35716799468845,3.2958798164712,3.88707478685015,4.34564183768971,3.44162748808654,2.0935244262602,0.526809769496765,2.40211843259056,2.66798388882503,2.21576713087359,2.1458350552646,3.49288002962309,3.76192435190464,3.18952292988787,1.31698749571339,1.48436877605324,1.14156504542775,2.56525534067859,2.32036514266782,3.26933601506059,3.77522468729185,1.45330562142114,-3.58626472551299,1.80898243043663,2.92746800169145,0.628246239479637,-0.250726423318454,0.755798850316665,1.30352331826198,2.11721964494312,2.27224992038207,2.48422114080024,1.75497619649288,-6.31825509209936,4.92309171717903,5.33096379400371,-0.786244288594673,-0.659089573171372,0.615747280959056
Bélgica,BEL,4.97842290203951,5.21200316192976,4.35158439272112,6.95668500485647,3.56066018685455,3.15589488893686,3.86814722361169,4.19412943238677,6.62980009162366,6.35267229121293,3.98582719666759,5.29560467072521,6.38170179993882,4.56525850850306,-1.96594188277651,5.65274606308233,0.626154572057786,2.84189681697329,2.34107304540791,4.44405389248001,-0.279283585394069,0.594986767578831,0.311843009473307,2.46638245146747,1.65179297063331,1.82276203316596,2.30665968936027,4.72320872854138,3.46916697570174,3.13740221731629,1.83307441343001,1.53065475142162,-0.961873076923027,3.22697145426247,2.38475724870135,1.32143214432601,3.79367165541437,1.96183240455609,3.54271798823922,3.71670510672588,1.09960362419645,1.70689430349601,1.03795518162204,3.57120671942319,2.32173792911834,2.55234087322462,3.67692462515802,0.446905130727231,-1.90644105515335,2.71031150254662,1.93115502411325,0.215803612089744,0.305494549070232,1.76554038149924,1.47416433731927,1.19350273007754,1.47446761556785,1.87796847383565,2.4428900448156,-4.7929839083518,6.25445686466593,4.02460852835887,1.56125539542029,1.09775383828703,0.983117967125935
Canadá,CAN,3.16329173248933,7.42783725181209,5.29744007975117,6.65599998250741,6.31719994750095,6.75969011323785,3.06542075476872,5.00827413057785,5.06703238381456,2.91871305007516,4.01884505535331,5.51966992842571,6.72864152445543,3.35777594002199,1.5454033371204,5.88927591475903,3.53482658557137,3.73597640512338,3.72519945403704,2.17719922747995,3.41506517464589,-3.16615029457148,2.56225365883793,5.89856946503677,4.73768071614444,2.12148088392294,4.07201567327779,4.41083906453277,2.33732982035617,0.202947848289654,-2.09105516498515,0.890466243956382,2.65770683842972,4.49404933882288,2.68232826962129,1.68896122145787,4.28016680422402,3.89288658501088,5.14100348449622,5.13853918994158,1.87509813099847,2.99925533832644,1.8063851195103,3.09236381038156,3.21045441502793,2.63794375302722,2.04990459443619,0.995406371264522,-2.91508627059555,3.09080633744851,3.1371944343876,1.75566133205234,2.32581356612762,2.87346675579731,0.64997101491096,1.03855091989323,3.03383491841392,2.74296341402246,1.90843193887251,-5.03823342794087,5.95052804984759,4.69541985045903,1.95308552199025,2.04626605401701,1.74268536175708
Suiza,CHE,5.68129275501126,4.25904731066512,5.3279337607149,6.82116455221615,3.8215074888714,2.09084417658971,3.36538853101615,3.63850584213618,5.00907522318819,6.47367386674536,0.944646267325481,2.28873880124212,3.96798105498392,3.19819566983648,2.55286257007239,1.05810474369396,-1.59625851921649,1.75154796226502,3.84000338120771,1.69997141281395,0.454830406055848,1.24866463987856,1.90063878642042,4.22953538456656,2.16037367780808,2.69132308579346,3.35384287267485,2.55903865202789,2.65480684650132,0.754674850871268,-1.14597481735849,-1.15859267203984,-2.06561631523785,4.01576592867781,4.09438994746239,0.560166924751584,2.09761680316545,2.77611373648112,1.68007571116809,3.63321673470911,1.59219781357001,0.380410134195273,-0.284222357857615,2.58692895529093,2.95208487460334,4.13432251467916,3.98319384807056,2.53159615417233,-1.93490944903913,3.26063082122047,1.40766067483813,1.12413575027705,1.83612392927999,2.54342347675991,1.45450336491099,1.91159094214852,1.42034612231261,3.32743256101493,1.11532187197474,-2.2552579425106,6.17622836050151,3.53430286842426,0.825560934124624,1.39033363875791,1.30007790958307
Chile,CHL,5.51961070344885,3.93078479110629,5.68667190016438,2.46113427734542,0.670838636062939,11.4634218589357,3.58811073177469,3.57371701447551,4.10317976748962,1.69447257971353,9.57107393842624,-0.712365918422577,-5.03775611682208,1.2495800122858,-12.2737621533613,3.60469484521828,11.1491944807539,8.02682491365691,8.43582175738598,8.17228334347537,6.71863895635887,-11.5020620535762,-4.9352297090374,3.98371018713553,3.55239860775048,5.40556438635799,6.73884253090458,7.35081069623416,10.3583568690228,3.59872304691744,7.75620189312957,11.5019314370192,6.6855844008042,5.07680374667352,9.25542757753573,7.1148626270751,7.3917392684331,4.18088662700669,-0.2736313981937,4.9716214882971,3.15403492459967,3.20279913520113,4.72324526861041,6.67425416822923,5.83704571917758,6.04999082563968,5.16823098528431,3.78939280635238,-1.11803723642878,5.85165102224047,6.22389678509138,6.15534001855494,3.30850824710085,1.79264947139259,2.15194249981184,1.753038749071,1.35769537343957,3.99002947789977,0.644223402631923,-6.1396969411886,11.3374032409913,2.06391864254198,0.677024831595858,2.80512637106611,2.45925474781374
Colombia,COL,5.08921698439107,5.41188961342047,3.28670755407101,6.16694132350723,3.60001138983772,5.23673586229452,4.13486416579858,5.93311799878289,6.10251730873333,6.20779696127698,5.9607279462907,7.66914754440097,6.72295496919133,5.74575718912141,2.32325528115796,4.7283687345395,4.15850545346419,8.4699008376688,5.37911898820207,4.08735367550767,2.27687274512178,0.948420786604515,1.57395603843689,3.35068373940706,3.1071061957296,5.82407613745866,5.36893214821323,4.06417324490376,3.41409610966596,4.28199833053058,2.00160759559029,4.04492943933556,5.38540993901029,5.81466190724336,5.20243759278655,2.05585471287195,3.43029367788374,0.569784088434517,-4.20401524244947,2.92486148176778,1.67789830787579,2.50398046659659,3.91827190322513,5.33302206759905,4.82876110773741,6.71686869844402,6.73819469090975,3.28344618616541,1.13964864548062,4.49465897070922,6.94789198173555,3.91263576716115,5.13399351995672,4.49903000110972,2.95590137527523,2.08738250162794,1.35936086788746,2.56432428277704,3.18685539245533,-7.18591413760859,10.8011981904878,7.32827729427979,0.841819555752039,1.49330728771066,2.64201548985928
Costa Rica,CRI,1.8792765563641,5.44239137528257,6.89892344200919,3.65904831413995,8.1905275942481,6.96931903096751,5.65012592038399,8.47330434699469,5.4917999425584,7.5031343433506,6.77850542642196,8.17804513351513,7.70891581191245,5.54489999097116,2.10007104948495,5.51756440295593,8.90447443155162,6.26768682442558,4.93912395498315,0.751895403326387,-2.26165550729671,-7.28556884666179,2.86299270239465,8.02410790730326,0.72160172926823,5.53625084315684,4.76453327969504,3.43214737968852,5.66597554871322,3.55306336572279,2.26565496296189,9.20110358278828,7.09719089594824,4.51902842051615,4.15395329584814,1.35045951266757,5.47616597492105,7.08853729218445,4.147800457203,3.80207210664838,3.49117013515725,3.41687615891895,4.31718000096654,4.42459978667458,3.97666631433462,7.3266951372695,8.21513209207497,4.73817511214847,-0.87345608994562,5.36034347722267,4.40315921836142,4.88259252932575,2.49476596233289,3.54210997703849,3.65208093006359,4.20432320775184,4.15769914676933,2.85285959760458,2.70813912948329,-4.14159340574358,8.21817953969082,5.46119455235068,4.79187732359398,4.08292444182048,4.56033547844829
República Checa,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.6149423646776,-0.506542343116848,0.0619042423607254,2.90930948412982,6.22140598863832,4.16858426915319,-0.595838414214853,-0.393150193750415,1.37836060943835,4.010669619984,2.9172195289956,1.51345949139996,3.300836832613,4.73633969683438,6.37502886086791,6.62317299177447,5.48882595164517,2.61226807205139,-4.79832416684926,2.71466509907701,1.77238085338473,-0.770668190622743,-0.0418124160447491,2.24521219862635,4.95875848915604,2.58087013921376,5.17356529967881,2.83030588267866,3.56577658128261,-5.30487955463876,4.02901832055149,2.8471706583814,0.0475803308973752,1.25131096245923,2.58046673293437
Alemania,DEU,4.29843950975808,4.6234710102125,2.73529643602564,6.63946989651858,5.24416402432635,2.81218130587229,-0.330256452713016,5.66877310370654,7.41810273162662,5.10314457629295,3.13269976979846,4.30034129247663,4.77748690945469,0.890068699312494,-0.866738936529003,4.94925843456397,3.34721808033223,3.00849288842491,4.15036333786591,1.40882864441943,0.529240541969116,-0.394840735634787,1.57241014192158,2.82294783585535,2.32793520067574,2.28733925852798,1.4021515883601,3.70723567991882,3.89655170553733,5.25500610110028,5.10826150190911,2.01361340926105,-0.973033082340891,2.59685569693275,1.50499384201356,1.0378755674358,1.85432238398302,2.09561231172233,2.12957016297766,2.8765231247659,1.63614170690956,-0.228255715793637,-0.529801394291297,1.16208684507278,0.885485292551564,3.86668241523209,2.8891174138025,0.887902330743628,-5.54455451920674,4.13463778522758,3.75796884489337,0.463512036709204,0.396995583779145,2.18018602168017,1.66300602334775,2.22222216259371,2.797906720551,1.13569604599849,0.977734697038784,-4.13191443239947,3.90999994204108,1.8092581243061,-0.869647578573321,-0.495851897260366,0.239578342117881
